N,spots,strike,tau,type,ask,vol,time
10,549.21,550,0.0493151,C,8.2,0.176933,3.9e-05
10,549.21,560,0.0493151,C,4.1,0.170029,3.7e-05
10,549.21,565,0.0493151,C,2.7,0.16742,4.7e-05
10,549.21,570,0.0493151,C,1.8,0.166173,3.4e-05
10,549.21,580,0.0493151,C,0.8,0.177043,3.5e-05
10,549.21,500,0.0493151,P,0.4,0.238286,3.5e-05
10,549.21,550,0.0493151,P,8.9,0.177883,4.3e-05
10,553.95,540,0.0465753,C,19.4,0.230424,3.6e-05
10,553.95,545,0.0465753,C,13.9,0.178366,3.2e-05
10,553.95,550,0.0465753,C,10.6,0.174327,3.4e-05
10,553.95,560,0.0465753,C,5.5,0.165306,3.3e-05
10,553.95,565,0.0465753,C,3.8,0.169226,3.8e-05
10,553.95,570,0.0465753,C,2.45,0.164458,3.7e-05
10,553.95,580,0.0465753,C,1,0.172824,3.7e-05
10,553.95,585,0.0465753,C,0.65,0.17106,3.2e-05
10,553.95,590,0.0465753,C,0.5,0.17981,3.6e-05
10,553.95,600,0.0465753,C,0.2,0.197235,3.1e-05
10,553.95,535,0.0465753,P,2.25,0.181655,4.4e-05
10,553.95,540,0.0465753,P,3.2,0.184056,3.4e-05
10,553.95,550,0.0465753,P,6.3,0.169496,3.8e-05
10,555.29,550,0.0438356,C,10.9,0.167392,3.2e-05
10,555.29,560,0.0438356,C,5.6,0.161185,3.2e-05
10,555.29,570,0.0438356,C,2.4,0.160159,3.6e-05
10,555.29,525,0.0438356,P,0.85,0.201013,2.9e-05
10,555.29,535,0.0438356,P,1.8,0.179182,3.5e-05
10,555.29,550,0.0438356,P,5.6,0.169864,3.4e-05
100,549.21,550,0.0493151,C,8.2,0.174861,0.000776
100,549.21,560,0.0493151,C,4.1,0.170056,0.000611
100,549.21,565,0.0493151,C,2.7,0.167812,0.000743
100,549.21,570,0.0493151,C,1.8,0.16941,0.000743
100,549.21,580,0.0493151,C,0.8,0.175021,0.000672
100,549.21,500,0.0493151,P,0.4,0.236856,0.000673
100,549.21,550,0.0493151,P,8.9,0.175797,0.000743
100,553.95,540,0.0465753,C,19.4,0.232136,0.000779
100,553.95,545,0.0465753,C,13.9,0.182533,0.000784
100,553.95,550,0.0465753,C,10.6,0.176918,0.000776
100,553.95,560,0.0465753,C,5.5,0.168933,0.000775
100,553.95,565,0.0465753,C,3.8,0.168432,0.000783
100,553.95,570,0.0465753,C,2.45,0.166134,0.000779
100,553.95,580,0.0465753,C,1,0.167133,0.000658
100,553.95,585,0.0465753,C,0.65,0.170506,0.000713
100,553.95,590,0.0465753,C,0.5,0.180766,0.000716
100,553.95,600,0.0465753,C,0.2,0.186349,0.000669
100,553.95,535,0.0465753,P,2.25,0.184068,0.000792
100,553.95,540,0.0465753,P,3.2,0.179029,0.000764
100,553.95,550,0.0465753,P,6.3,0.172232,0.000791
100,555.29,550,0.0438356,C,10.9,0.170963,0.000748
100,555.29,560,0.0438356,C,5.6,0.1646,0.000774
100,555.29,570,0.0438356,C,2.4,0.161098,0.00074
100,555.29,525,0.0438356,P,0.85,0.195326,0.000718
100,555.29,535,0.0438356,P,1.8,0.182423,0.000703
100,555.29,550,0.0438356,P,5.6,0.173479,0.000707
1000,549.21,550,0.0493151,C,8.2,0.175064,0.050889
1000,549.21,560,0.0493151,C,4.1,0.170354,0.043909
1000,549.21,565,0.0493151,C,2.7,0.167709,0.043309
1000,549.21,570,0.0493151,C,1.8,0.168856,0.044952
1000,549.21,580,0.0493151,C,0.8,0.174512,0.03246
1000,549.21,500,0.0493151,P,0.4,0.236514,0.04254
1000,549.21,550,0.0493151,P,8.9,0.176002,0.047771
1000,553.95,540,0.0465753,C,19.4,0.232622,0.045503
1000,553.95,545,0.0465753,C,13.9,0.182027,0.044222
1000,553.95,550,0.0465753,C,10.6,0.176851,0.049084
1000,553.95,560,0.0465753,C,5.5,0.169344,0.047043
1000,553.95,565,0.0465753,C,3.8,0.16855,0.048993
1000,553.95,570,0.0465753,C,2.45,0.165744,0.042694
1000,553.95,580,0.0465753,C,1,0.167281,0.048292
1000,553.95,585,0.0465753,C,0.65,0.170593,0.037344
1000,553.95,590,0.0465753,C,0.5,0.180357,0.044509
1000,553.95,600,0.0465753,C,0.2,0.185284,0.041304
1000,553.95,535,0.0465753,P,2.25,0.184241,0.037318
1000,553.95,540,0.0465753,P,3.2,0.17914,0.043963
1000,553.95,550,0.0465753,P,6.3,0.172108,0.041886
1000,555.29,550,0.0438356,C,10.9,0.171241,0.047301
1000,555.29,560,0.0438356,C,5.6,0.164866,0.050523
1000,555.29,570,0.0438356,C,2.4,0.160804,0.046303
1000,555.29,525,0.0438356,P,0.85,0.195227,0.037083
1000,555.29,535,0.0438356,P,1.8,0.182427,0.047123
1000,555.29,550,0.0438356,P,5.6,0.173728,0.049172
10000,549.21,550,0.0493151,C,8.2,0.175074,4.71119
10000,549.21,560,0.0493151,C,4.1,0.170379,4.69071
10000,549.21,565,0.0493151,C,2.7,0.167714,4.89059
10000,549.21,570,0.0493151,C,1.8,0.168842,3.96676
10000,549.21,580,0.0493151,C,0.8,0.174532,4.45607
10000,549.21,500,0.0493151,P,0.4,0.236435,4.21464
10000,549.21,550,0.0493151,P,8.9,0.176011,4.88668
10000,553.95,540,0.0465753,C,19.4,0.232652,4.65932
10000,553.95,545,0.0465753,C,13.9,0.182063,4.41524
10000,553.95,550,0.0465753,C,10.6,0.176868,4.8393
10000,553.95,560,0.0465753,C,5.5,0.16933,4.01044
10000,553.95,565,0.0465753,C,3.8,0.168561,4.05048
10000,553.95,570,0.0465753,C,2.45,0.165742,4.47098
10000,553.95,580,0.0465753,C,1,0.167287,4.70188
10000,553.95,585,0.0465753,C,0.65,0.170599,4.0263
10000,553.95,590,0.0465753,C,0.5,0.180325,4.20716
10000,553.95,600,0.0465753,C,0.2,0.185236,4.03739
10000,553.95,535,0.0465753,P,2.25,0.184274,4.27669
10000,553.95,540,0.0465753,P,3.2,0.179147,4.28248
10000,553.95,550,0.0465753,P,6.3,0.172112,4.72111
10000,555.29,550,0.0438356,C,10.9,0.171207,4.9435
10000,555.29,560,0.0438356,C,5.6,0.164836,4.92557
10000,555.29,570,0.0438356,C,2.4,0.160832,4.94991
10000,555.29,525,0.0438356,P,0.85,0.195248,4.25358
10000,555.29,535,0.0438356,P,1.8,0.182429,4.94104
10000,555.29,550,0.0438356,P,5.6,0.17369,4.6847
100000,549.21,550,0.0493151,C,8.2,0.175079,446.639
100000,549.21,560,0.0493151,C,4.1,0.170382,474.247
100000,549.21,565,0.0493151,C,2.7,0.167716,453.913
100000,549.21,570,0.0493151,C,1.8,0.16884,432.367
100000,549.21,580,0.0493151,C,0.8,0.174525,456.261
100000,549.21,500,0.0493151,P,0.4,0.236432,394.25
100000,549.21,550,0.0493151,P,8.9,0.176016,475.177
100000,553.95,540,0.0465753,C,19.4,0.232656,472.296
100000,553.95,545,0.0465753,C,13.9,0.182059,447.961
100000,553.95,550,0.0465753,C,10.6,0.17687,475.176
100000,553.95,560,0.0465753,C,5.5,0.169334,453.966
100000,553.95,565,0.0465753,C,3.8,0.168562,438.335
100000,553.95,570,0.0465753,C,2.45,0.165746,462.006
100000,553.95,580,0.0465753,C,1,0.167287,441.636
100000,553.95,585,0.0465753,C,0.65,0.170599,394.529
100000,553.95,590,0.0465753,C,0.5,0.180324,434.661
100000,553.95,600,0.0465753,C,0.2,0.185236,391.775
100000,553.95,535,0.0465753,P,2.25,0.184271,473.288
100000,553.95,540,0.0465753,P,3.2,0.17915,472.246
100000,553.95,550,0.0465753,P,6.3,0.172108,475.347
100000,555.29,550,0.0438356,C,10.9,0.171209,475.17
100000,555.29,560,0.0438356,C,5.6,0.164837,474.334
100000,555.29,570,0.0438356,C,2.4,0.160834,388.06
100000,555.29,525,0.0438356,P,0.85,0.195245,388.702
100000,555.29,535,0.0438356,P,1.8,0.182426,453.996
100000,555.29,550,0.0438356,P,5.6,0.173694,366.163
